CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0069,0.9330056064577779
C0001,C0026,0.904199730914465
C0001,C0157,0.8558244778127145
C0002,C0178,0.9564848478705429
C0002,C0133,0.949490383139543
C0002,C0159,0.9480587987277502
C0003,C0166,0.825666694728609
C0003,C0031,0.8023431956885237
C0003,C0195,0.7416569527059902
C0004,C0065,0.9483329599936349
C0004,C0075,0.9302178901263154
C0004,C0012,0.9166037200648219
C0005,C0007,0.9734897880242182
C0005,C0085,0.9657407040976571
C0005,C0197,0.9538730921425349
C0006,C0135,0.8360965913104043
C0006,C0196,0.7674943783404313
C0006,C0185,0.7523667885479802
C0007,C0005,0.9734897880242182
C0007,C0085,0.9548274285785038
C0007,C0197,0.9281620122264549
C0008,C0093,0.9267621924763638
C0008,C0173,0.8581067413087877
C0008,C0145,0.8480458563294974
C0009,C0198,0.9865094248172505
C0009,C0032,0.9801914153542968
C0009,C0033,0.9683196891560681
C0010,C0176,0.9359756523515906
C0010,C0056,0.9287327796287193
C0010,C0030,0.9057253942754584
C0011,C0016,0.8504671024600803
C0011,C0027,0.8459832327993669
C0011,C0153,0.8224701773186226
C0012,C0065,0.9551405726043791
C0012,C0113,0.9201784391931638
C0012,C0004,0.9166037200648219
C0013,C0156,0.9322132260992091
C0013,C0099,0.9257530150314532
C0013,C0141,0.8810567016214594
C0014,C0060,0.9994300252049192
C0014,C0097,0.9948370824725327
C0014,C0080,0.9888510267148146
C0015,C0123,0.9988773655587327
C0015,C0128,0.9927283303554489
C0015,C0080,0.9904076897429814
C0016,C0107,0.9031102872218102
C0016,C0011,0.8504671024600803
C0016,C0117,0.838574862589075
C0017,C0075,0.94101793238425
C0017,C0004,0.9009217917350432
C0017,C0057,0.8870780515658981
C0018,C0068,0.9072369334702768
C0018,C0168,0.8310691074723778
C0018,C0087,0.8302214984744257
C0019,C0191,0.8797461467169959
C0019,C0174,0.860196370202337
C0019,C0070,0.8425409394204819
C0020,C0130,0.9929819616527819
C0020,C0140,0.9751918505230077
C0020,C0058,0.9411017132565332
